country,year,co2,co2_per_capita,total_ghg
Brazil,2000,300,1.8,500
Brazil,2010,420,2.2,620
Brazil,2019,470,2.3,690
Brazil,2020,450,2.1,670
Brazil,2021,480,2.2,700
Brazil,2022,500,2.3,730
France,2000,380,6.3,510
France,2010,340,5.2,460
France,2020,280,4.1,390
India,2000,1050,1.0,1600
India,2010,1700,1.4,2400
India,2020,2440,1.8,3300
United States,2000,6000,20.5,7200
United States,2010,5400,17.5,6500
United States,2020,4700,14.2,5600
Egypt,2000,140,1.9,210
Egypt,2010,210,2.4,310
Egypt,2020,250,2.5,360
World,2020,35000,4.5,50000
